Initialization Time: 3528.74
Query, response, time
323:3203129 3107651 (1U4U3U2U142U19U13U45)+ 1+, 0, 0.00025286
324:34775 3515554 (1U2U5U76U55U8)+ 1+, 1, 0.0113529
325:2263374 2133005 (3U1)+ 1+, 1, 0.0111189
326:2981846 66713 (6U11)+ 1+, 0, 0.00144286
327:2119119 998452 (1U8U231U44)+ 1+, 0, 0.00030786
328:210700 451510 (93.68)+ 1+, 0, 4.986e-05
329:2191620 1954318 (72U1U3U27U5U13)+ 1+, 1, 0.0152349
330:1808084 2467905 ((56)+).((19)+).((1)+).((4)+).((42)+).((1)+) 1+, 0, 7.286e-05
331:1249582 1364654 (1U2U4U143U41U3U80U75)+ 1+, 1, 0.0115489
332:1260225 677933 ((3)+).((56)+).((109)+).((7)+).((2)+).((50)+) 1+, 0, 0.00038186
333:2555037 2465705 (1U2U207U146U17U4U79U37)+ 1+, 1, 0.00100686
334:1281546 2351166 (72.3.4.1)+ 1+, 0, 7.786e-05
335:2537312 88464 (1U3)+ 1+, 1, 0.0136719
336:253718 1578500 ((4)+).((46)+).((1)+).((115)+).((1)+).((21)+).((7)+).((1)+) 1+, 0, 0.00033086
337:2096298 3530816 ((4)+).((1)+) 1+, 0, 0.00016386
